Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
19,"Microsoft hopes to take on Google with a version of Bing that uses the AI behind ChatGPT, report says",Extremely Negative,300,"['rival', 'scrambling', 'threat', 'concerns', 'issues', 'falls']",['Communist'],"[Sundar, Pichai, Jack, Ma]"
20,"With Bing and ChatGPT, Google is about to face competition in search for the first time in 20 years",Somewhat Positive,190,"['touted', 'destroyer', 'disrupt', 'skepticism', 'threat', 'lost', 'limitations', 'wrong', 'expensive', 'worse', 'scarily', 'flounder', 'disrupt', 'stranger', 'falls']",['Communist'],"[D., A., Davidson, Gil, Luria, Luria, Luria, Luria, D., A., Davidson, Tom, Dotan, Marissa, Mayer, Jack, Ma]"
21,New York City schools ban AI chatbot that writes essays and answers prompts,Extremely Negative,450,"['fears', 'cheat', 'forbidden', 'concerns', 'negative', 'concerns', 'mistakes', 'incorrect', 'inappropriate', 'fears', 'plagiarize', 'misleading', 'limited', 'misleading', 'mistake', 'divisive', 'warned', 'struggle']",['reject'],"[Jenna, Lyle, Elon, Musk, 'lawsuit', Lyle, Sam, Altman, Dan, Lewer, Lewer, Lewer]"
22,What 10 top AI stories in 2022 reveal about 2023,Extremely Positive,570,"['fall', 'critical', 'mundane', 'declining', 'laid', 'fall', 'uncertain', 'slowed', 'bumps', 'laid', 'rumors', 'rumors', 'problems', 'buzzing', 'criticism', 'threats', 'buzzing', 'fallout', 'inevitable']","['crack', 'dive', 'kill']","['harassment', 'harassment', Geoffrey, Hinton, Andrew, Ng, Ng, Andrew, Ng, George, Anandiotis, Andrew, Ng, Ng, Ng, 'harassment', Sharon, Goldman, Mark, Zuckerberg, Thomas, Ahle, Sean, Michael, Kerner, Hinton, LeCun, Li, Sharon, Goldman, Geoffrey, Hinton, Hinton, Yann, LeCun, FeiFei, Li, 'lawsuit', Sharon, Goldman, 'lawsuit', Bradford, Newman, 'lawsuit', Sean, Michael, Kerner]"
23,ChatGPT and generative AI look like tech's next boom. They could be the next bubble.,Generally Neutral,220,"['downturn', 'scarce', 'dismal', 'unproven', 'unclear', 'expensive', 'topple', 'challenging', 'problem', 'expensive', 'hype', 'hefty', 'falls']","['premature', 'Communist']","[Kyle, Harrison, kwharrison13, Richard, Windsor, Jack, Ma]"
24,"
			Princeton Student Builds ChatGPT Detection App to Fight AI Plagiarism
		",Extremely Positive,200,"['concerned', 'perplexity', 'complicated', 'randomly', 'crashed', 'unexpectedly', 'unlikely', 'concerns', 'Layoff', 'Skeptic', 'Divisive']",['Fight'],"[Edward, Tian, Edward, Tian, Tian, David, Hanssons, Edward, Tian, edwardthe6, Tians, Tian, 'harassment', Elon, Musk]"
25,No Headline,Extremely Negative,220,"['trick', 'hazy', 'problem']",[],"[Jenny, List]"
26,"
      New York City public schools ban access to AI tool that could help students cheat
    ",Extremely Negative,540,"['concerns', 'cheat', 'worry', 'inaccurate', 'concerns', 'negative', 'concerns', 'restricted', 'restricted', 'concerns', 'unclear', 'complaints', 'critical', 'misleading', 'cheat', 'cheating', 'cheating', 'problem', 'issue']","['crack', 'fear']","['lawsuit', Jenna, Lyle, Peter, Feng, 'lawsuit', Sam, Altman, Darren, Hicks, Hicks, Feng, Hicks, Hicks, Abby, Phillip]"
27,"In a challenge to Google, Microsoft is adding ChatGPT to Bing",Extremely Positive,140,"['suspect', 'bad', 'panic', 'alarm', 'dread']","['fire', 'fear']",[]
28,“Please slow down”—The 7 biggest AI stories of 2022,Extremely Negative,470,"['slow', 'relentless', 'obsolete', 'hard', 'struggled', 'concerns', 'misuse', 'violent', 'broke', 'hype']","['sexual', 'drug']","['lawsuit', 'harassment', Blake, Lemoine, Lemoine, LaMDA, Lemoine, Lemoine, Lemoines, Lemoine, Lemoine, Janet, Thornton]"
29,"Sketchy ChatGPT App Soars Up App Store Charts, Charges $7.99 Weekly Subscription [Update: Removed]",Extremely Negative,330,"['Sketchy', 'sketchy', 'sketchy', 'intrusive', 'inconsistent', 'irrelevant', 'negative', 'fake', 'bad', 'suspicious', 'ambiguous', 'sketchy', 'scams', 'sketchy']",[],"[Austen, Allred, Austen]"
30,No Headline,Extremely Negative,380,"['dilemma', 'dilemma', 'problem', 'Ironically', 'difficult', 'disrupt', 'dilemma', 'disruptive', 'proprietary', 'isolated', 'problem', 'liable', 'difficult']",[],"[Satya, Nadella, 'lawsuit', 'lawsuit']"
